,p,q,ps,qs,AIC,BIC
0,1,0,1,0,569.712266,626.751523
1,1,0,1,1,299.195331,361.419975
2,1,0,1,2,302.894374,370.304405
3,1,0,2,0,410.714162,472.938806
4,1,0,2,1,294.412956,361.822987
5,1,0,2,2,296.278382,368.8738
6,1,0,3,0,333.845358,401.25539
7,1,0,3,1,296.122967,368.718385
8,1,0,3,2,298.16106,375.941865
9,1,1,1,0,567.660227,629.884871
10,1,1,1,1,298.025097,365.435128
11,1,1,1,2,301.710149,374.305567
12,1,1,2,0,409.009788,476.419819
13,1,1,2,1,293.182339,365.777757
14,1,1,2,2,299.975578,377.756384
15,1,1,3,0,332.072515,404.667933
16,1,1,3,1,294.842147,372.622953
17,1,1,3,2,296.936961,379.903154
18,1,2,1,0,566.501552,633.911584
19,1,2,1,1,302.438974,375.034392
20,1,2,1,2,305.538095,383.3189
21,1,2,2,0,405.141877,477.737295
22,1,2,2,1,297.321347,375.102153
23,1,2,2,2,304.565692,387.531885
24,1,2,3,0,336.283174,414.063979
25,1,2,3,1,299.128343,382.094536
26,1,2,3,2,301.159027,389.310606
27,2,0,1,0,560.277626,622.50227
28,2,0,1,1,294.712525,362.122556
29,2,0,1,2,298.578238,371.173656
30,2,0,2,0,403.021759,470.431791
31,2,0,2,1,290.113987,362.709405
32,2,0,2,2,291.896767,369.677572
33,2,0,3,0,327.631445,400.226863
34,2,0,3,1,291.722916,369.503721
35,2,0,3,2,293.89722,376.863413
36,2,1,1,0,562.17247,629.582501
37,2,1,1,1,296.737519,369.332937
38,2,1,1,2,300.372129,378.152934
39,2,1,2,0,404.816944,477.412363
40,2,1,2,1,291.837612,369.618417
41,2,1,2,2,298.904913,381.871105
42,2,1,3,0,329.096757,406.877563
43,2,1,3,1,293.431679,376.397872
44,2,1,3,2,295.613034,383.764613
45,2,2,1,0,562.495449,635.090867
46,2,2,1,1,296.945211,374.726016
47,2,2,1,2,300.656156,383.622348
48,2,2,2,0,404.716737,482.497543
49,2,2,2,1,291.972061,374.938253
50,2,2,2,2,299.900751,388.052331
51,2,2,3,0,327.536009,410.502201
52,2,2,3,1,293.863719,382.015298
53,2,2,3,2,295.865116,389.202082
54,3,0,1,0,562.066608,629.476639
55,3,0,1,1,296.117692,368.71311
56,3,0,1,2,300.125581,377.906386
57,3,0,2,0,404.635342,477.230761
58,3,0,2,1,291.492253,369.273059
59,3,0,2,2,293.484898,376.45109
60,3,0,3,0,328.431172,406.211977
61,3,0,3,1,293.063945,376.030137
62,3,0,3,2,295.260574,383.412154
63,3,1,1,0,563.169244,635.764662
64,3,1,1,1,297.172511,374.953316
65,3,1,1,2,301.251399,384.217592
66,3,1,2,0,406.158712,483.939517
67,3,1,2,1,292.63971,375.605902
68,3,1,2,2,299.617406,387.768985
69,3,1,3,0,329.403814,412.370006
70,3,1,3,1,294.191878,382.343458
71,3,1,3,2,296.348347,389.685314
72,3,2,1,0,562.724801,640.505607
73,3,2,1,1,297.546131,380.512323
74,3,2,1,2,301.29375,389.445329
75,3,2,2,0,407.594487,490.560679
76,3,2,2,1,293.474738,381.626317
77,3,2,2,2,300.608348,393.945314
78,3,2,3,0,330.452742,418.604322
79,3,2,3,1,295.004742,388.341709
80,3,2,3,2,297.300606,395.82296
